CategoryLabel	ServiceLabel	Title	Body
Client	Event Hubs	[FEATURE REQ] Support reading from a specific partition/offset without a consumer group (Kafka-style Assign)	Library name Azure.Messaging.EventHubs.Consumer Please describe the feature. We distribute transactions on one Event Hub, and dimensions (like Accounts) on another compacted Event Hub. Every consumer of Accounts needs the full, up-to-date snapshot from all partitions. Currently, each consumer must have its own consumer group to read from partitions, which adds unnecessary complexity and maintenance (dynamic consumer-group creation, cleanup,  etc.). It would be much simpler if we could start reading from a specific partition and offset without needing a consumer group, similar to Confluent.Kafka’s API. using var consumer = new ConsumerBuilder<Ignore, string>(config)     .SetValueDeserializer(Deserializers.Utf8)     .SetErrorHandler((_, e) => Console.WriteLine($`Error: {e.Reason}`))     .Build();  consumer.Assign(new TopicPartitionOffset(topic, 0, Offset.End));
Client	Service Bus	[QUERY] Re-subscribing in ServiceBusProcessor.ProcessErrorAsync, avoiding deadlock	Library name and version Azure.Messaging.ServiceBus 7.20.1 Query/Question Summary: What's the recommended way to handle a ServiceBusProcessor that might outlive the Subscription it's listening to? Details:  I'd like to use AutoDeleteOnIdle with my subscriptions On the (unlikely) chance that the subscription goes idle while the application instance is still running, the ServiceBusProcessor will fire an error event with a MessagingEntityNotFound ServiceBusException I'd like to re-create the subscription at that point to continue receiving messages I tried simply re-creating the subscription, but the existing ServiceBusProcessor instance does not seem to automatically continue receiving messages (I'm assuming once the error occurs, it stops polling for updates?) I then tried to create a new processor, but attempting to call processor.StopProcessingAsync() on the old seems to trigger a deadlock, which matches what the docs say: `It is not recommended that the state of the processor be managed directly from within this handler; requesting to start or stop the processor may result in a deadlock scenario.`  Environment No response
Client	Search	[BUG] KnowledgeAgent missing from Azure.Search.Documents 11.7.0	Library name and version Azure.Search.Documents 11.7.0 Describe the bug Azure.Search.Documents 11.7.0-bata.7 (the last beta) had KnowledgeAgent and all the associated classes to go agentic retrieval. when I upgrade from the beta to 11.7.0, those classes are all missing. It seems the Azure.Search.Documents.Agents is missing? Expected behavior Expected KnowledgeAgent to exist since it was added to beta.7. Actual behavior KnowledgeAgent missing from the GA Azure.Search.Documents 11.7.0. Reproduction Steps Include the Azure.Search.Documents 11.7.0 nuget package and try to create a new KnowledgeAgent. Environment No response
Client	Search	[BUG] Azure.Search.Documents 11.7.0 does not support aliases	Library name and version Azure.Search.Documents 11.7.0 Describe the bug 11.7.0 beta versions all supported index aliases.   Upon upgrading from 11.7.0-beta.7 to the final release 11.7.0, indexe aliases no longer worked (error of index was not found).   Downgraded back to 11.7.0-beta.7 to restore it working again. Expected behavior Index aliases should be supported in the final release, like they were in the beta. Actual behavior Index aliases report as not found with final release. Reproduction Steps Use an index alias with 11.7.0-beta.7 and observe it working.  Upgrade to latest 11.7.0 release and observe it failing. Environment dotnet core 9.0, azure container apps
Client	Search	[BUG] Make SearchResult constructor and Document property setter public	Library name and version Azure.Search.Documents 11.7.0 Describe the bug The constructor of Azure.Search.Documents.Models.SearchResult is internal. There is no way to instantiate it from client code. This makes unit testing difficult: I want to create mocks of the search service that returns SearchResult objects. For now the only way(s) to achieve this is to create my own search result class and do some mapping, or use reflection to instantiate SearchResult, both of which are not ideal. Similar to #1776 Expected behavior Azure.Search.Documents.Models.SearchResult default constructor is public; Document property setter is public; I am able to instantiate fake SearchResult objects for unit testing Actual behavior Azure.Search.Documents.Models.SearchResult default constructor is internal; Document property setter is internal; I am unable to instantiate fake SearchResult objects for unit testing Reproduction Steps Observe this .net fiddle, observe it does not compile: https://dotnetfiddle.net/7gajjD Environment No response
Client	Batch	[BUG] When creating a BatchTaskCreateOptions, there is no way to specify ResourceFiles,  ApplicationPackageReferences, EnvironmentSettings, etc	Library name and version Azure.Compute.Batch 1.0.0-beta3 Describe the bug I want to be able to specify all the properties of the BatchTaskCreateOptions. There is only a simply constructor that takes two parameters. The complete constructor is internal so can't call it. The properties like ResourceFiles,  ApplicationPackageReferences, EnvironmentSettings, etc are read only so can't be set. Expected behavior I should be able to change all the properties in a BatchTaskCreateOptions. Actual behavior There is only a simply constructor that takes two parameters. The complete constructor is internal so can't call it. The properties like ResourceFiles,  ApplicationPackageReferences, EnvironmentSettings, etc are read only so can't be set. Reproduction Steps Create a BatchTaskCreateOptions, specify the ResourceFiles,  ApplicationPackageReferences, EnvironmentSettings. Environment Visual Studio 2022. .Net SDK 9.0. .Net Framework 4.8.1. Windows 11 Pro 24H2.
Client	AI Agents	[BUG] FunctionToolDefinition from Azure.AI.Agents.Persistent has broken definition of equality/hash code	Library name and version Azure.AI.Agents.Persistent 1.2.0-beta.5 Describe the bug From https://learn.microsoft.com/en-us/dotnet/api/system.object.gethashcode#notes-to-inheritors  If two objects compare as equal, the GetHashCode() method for each object must return the same value.  Otherwise, when you put one into a collection that buckets based on hash code, you may not be able to find the object that's been stored there. FunctionToolDefinition breaks these rules. Repro: using Azure.AI.Agents.Persistent;  var a = new FunctionToolDefinition(`hello`, `says hello`); var b = new FunctionToolDefinition(`hello`, `says hello`);  Console.WriteLine(a.Equals(b)); Console.WriteLine(a.GetHashCode()); Console.WriteLine(b.GetHashCode()); Expected behavior Either prints true followed by the same number twice, or prints false followed by any two numbers. Actual behavior e.g. True 7043582 24457708  The objects are comparing as equals, but they have different hash codes. Reproduction Steps Run the repro. Environment .NET 9
Client	AI Agents	Missing property in Azure.AI.Agents.Persistent.SubmitToolApprovalUpdate	The type is exposing the Name and Arguments of the MCP tool call: https://github.com/Azure/azure-sdk-for-net/blob/main/sdk/ai/Azure.AI.Agents.Persistent/src/Custom/Streaming/SubmitToolApprovalUpdate.cs but it's not exposing the server label, such that the consumer doesn't know which server the tool call is from (there can be multiple servers that all have the same tool name). The underlying RequiredMcpToolCall does expose this:                azure-sdk-for-net/sdk/ai/Azure.AI.Agents.Persistent/src/Generated/RequiredMcpToolCall.cs                   Lines 54 to 58       in       ea4b6a1                                                 public string Arguments { get; }                                           /// <summary> The name of the function used on the MCP server. </summary>                                           public string Name { get; }                                           /// <summary> The label of the MCP server. </summary>                                           public string ServerLabel { get; }                     but that RequiredMcpToolCall instance is private to the SubmitToolApprovalUpdate and not accessible to a consumer.
Client	AI Agents	Confusing parameter/property names in Azure.AI.Agents.Persistent.MCPApproval	The MCPApproval class has a constructor:                azure-sdk-for-net/sdk/ai/Azure.AI.Agents.Persistent/src/Custom/MCPApproval.cs                   Lines 54 to 55       in       ea4b6a1                                                 /// <param name=`trust`>The trust level, can be `always` or `never`</param>                                           public MCPApproval(string trust)                     I read that `trust` parameter being `always` or `never` as meaning whether to always trust a tool or never trust a tool. But it's the opposite. `always` here maps to approval always being required, and `never` maps to approval never being required, which is the opposite of the tool `always` being trusted or `never` being trusted, as highlighted by the subsequent properties:                azure-sdk-for-net/sdk/ai/Azure.AI.Agents.Persistent/src/Custom/MCPApproval.cs                   Lines 61 to 68       in       ea4b6a1                                                 /// <summary>                                           /// Return true if we do not trust all tool and always need to ask for approval before sending data to server.                                           /// </summary>                                           public bool AlwaysApprove{get => string.Equals(_forAllToolsApproval, ALWAYS);}                                           /// <summary>                                           /// Return true if we trust all tools and do not need to ask for approval before before sending data to server.                                           /// </summary>                                           public bool NeverApprove { get => string.Equals(_forAllToolsApproval, NEVER); }                     This parameter should be renamed, e.g. `requireApproval`. I suggest those properties should also be renamed. `AlwaysApprove` reads different to me than `AlwaysRequireApproval`; the former sounds like it's saying the system should always automatically approve of any tool calls, but that's the opposite of which it actually means, which is that all tool calls require approval.
Client	Event Hubs	[QUERY] EventHubs trigger function concurrency & partition lease	Library name and version Microsoft.Azure.Functions.Worker.Extensions.EventHubs 6.3.1 Query/Question Hi team, We need some clarification on the eventhubs trigger function, running on dedicated ASP (so no dynamic scaling). More specifically:   per our understanding, the global concurrency we can achieve should equal to the number of eventhubs partitions which should have nothing to do with the number of workers in the ASP (assuming the workers still have enough compute headroom). So if we only have 3 workers and the eventhubs has 100 partitions, we should still have 100 eventhubs functions running concurrently (assuming there are infinite events in each partitions). Each worker would basically start as many tasks as the partitions it owns to handle events in those partitions concurrently. Is the understanding correct? Is so, is the per-worker concurrency configurable if we want to limit it?   under what situation, the same partition might be processed by different workers? We observed that under high load, the same event (only one, not duplicates of the same event) is processed by multiple workers almost at the same time - it looks like one of the worker just failed to renew the lease and another workers acquire it somehow. We understand that eventhubs only guarantee at least once delivery, and our system is prepared to handle sequential duplicate events, but not duplicate events concurrently due to race condition. Also, is the lease duration configurable?   Thanks in advance Environment No response
Client	AI Agents	[BUG] Serialization error with AI Agents:  Unable to cast object of type 'd__2' to type	Library name and version Azure.AI.Agents.Persistent 1.2.0-beta.4 Describe the bug Message: Unable to cast object of type 'd__2' to type 'System.Collections.Generic.List`1[System.Text.Json.JsonElement]'.  Stack:    at System.Text.Json.JsonSerializer.UnboxOnWrite[T](Object value)    at System.Text.Json.Serialization.Metadata.JsonTypeInfo`1.SerializeAsObject(Utf8JsonWriter writer, Object rootValue)    at System.Text.Json.JsonSerializer.WriteStringAsObject(Object value, JsonTypeInfo jsonTypeInfo)    at System.Text.Json.JsonSerializer.Serialize(Object value, JsonTypeInfo jsonTypeInfo)    at Azure.AI.Agents.Persistent.ThreadMessages.CreateMessageAsync(String threadId, MessageRole role, IEnumerable`1 contentBlocks, IEnumerable`1 attachments, IReadOnlyDictionary`2 metadata, CancellationToken cancellationToken)    at Microsoft.SemanticKernel.Agents.AzureAI.Internal.AgentThreadActions.CreateMessageAsync(PersistentAgentsClient client, String threadId, ChatMessageContent message, CancellationToken cancellationToken)    at Microsoft.SemanticKernel.Agents.AzureAI.AzureAIAgentThread.OnNewMessageInternalAsync(ChatMessageContent newMessage, CancellationToken cancellationToken)    at Microsoft.SemanticKernel.Agents.AgentThread.OnNewMessageAsync(ChatMessageContent newMessage, CancellationToken cancellationToken)    at Microsoft.SemanticKernel.Agents.Agent.EnsureThreadExistsWithMessagesAsync[TThreadType](ICollection`1 messages, AgentThread thread, Func`1 constructThread, CancellationToken cancellationToken)    at Microsoft.SemanticKernel.Agents.AzureAI.AzureAIAgent.InvokeStreamingAsync(ICollection`1 messages, AgentThread thread, AzureAIAgentInvokeOptions options, CancellationToken cancellationToken)+MoveNext()    at Microsoft.SemanticKernel.Agents.AzureAI.AzureAIAgent.InvokeStreamingAsync(ICollection`1 messages, AgentThread thread, AzureAIAgentInvokeOptions options, CancellationToken cancellationToken)+System.Threading.Tasks.Sources.IValueTaskSource.GetResult()  Expected behavior Throws this exception all the time when using  Microsoft.SemanticKernel.Agents.AzureAI.AzureAIAgent.InvokeStreamingAsync which used to work on the same codebase of ours. Actual behavior Throws the above mentioned exception. Reproduction Steps Invoke Microsoft.SemanticKernel.Agents.AzureAI.AzureAIAgent.InvokeStreamingAsync method with the following packages. <PackageReference Include=`Azure.AI.Agents.Persistent` Version=`1.2.0-beta.4` /> <PackageReference Include=`Azure.AI.OpenAI` Version=`2.3.0-beta.1` /> <PackageReference Include=`Azure.AI.Projects` Version=`1.0.0-beta.11` /> <PackageReference Include=`System.ClientModel` Version=`1.6.1` /> <PackageReference Include=`System.Linq.Async` Version=`6.0.3` /> <PackageReference Include=`Simplist.Framework.Services.Core` Version=`1.0.0` /> <PackageReference Include=`Simplist.Framework.Bootstrap` Version=`1.0.0` /> <PackageReference Include=`Microsoft.SemanticKernel` Version=`1.64.0` /> <PackageReference Include=`Microsoft.SemanticKernel.Core` Version=`1.64.0` /> <PackageReference Include=`Microsoft.SemanticKernel.Agents.Core` Version=`1.64.0` /> <PackageReference Include=`Microsoft.SemanticKernel.Agents.OpenAI` Version=`1.64.0-preview` /> <PackageReference Include=`Microsoft.SemanticKernel.Agents.AzureAI` Version=`1.64.0-preview` /> <PackageReference Include=`Microsoft.SemanticKernel.Plugins.Web` Version=`1.64.0-alpha` />  Environment .NET
Client	AI Agents	[QUERY]How to add a mcptool to an agent when using agentClient.Administration.GetAgent?	Library name and version Azure.AI.Agents.Persistent 1.2.0-beta.3 Query/Question I created an agent in Azure AI foundry,  and use the code to get it: var agent = agentClient.Administration.GetAgent(`id`);  How can I add the MCPToolDefinition to it? Environment No response
