CategoryLabel	ServiceLabel	Title	Body
Client	AI Agents	Creating a new thread with messages and otel enabled	Package Name: azure-ai-projects Package Version: 1.1.0b3 Operating System: mac Python Version: 3.13  Describe the bug A clear and concise description of what the bug is. When you have otel enabled, and you call agents.thread.create with messages (of type ThreadMessageOptions) it raises an error: AttributeError: 'ThreadMessageOptions' object has no attribute 'thread_id' To Reproduce Steps to reproduce the behavior:  Create messages = [ThreadMessageOptions(role=MessageRole.USER, content=[MessageInputContentBlock(text='user input')])] call thread = await client.agents.threads.create(messages=messages) get error:  Expected behavior A clear and concise description of what you expected to happen. Thread created Screenshots If applicable, add screenshots to help explain your problem. Additional context Add any other context about the problem here.
Client	AI Projects	Calling MCP server tool not working for Azure AI Agent	I have the issue where Azure AI Agent when configured with a MCP server, tool call to MCP server fails. Agent can successfully retrieve all the available tools. It appears that the MCP session is terminated by the Agent- using a DELETE call- before calling a tool, causing the MCP server to respond with 404 error. l. I ran wireshark to analyze the packets and I see DELETE being called before calling the tool. I have tested the same MCP server using FastMCP client and MS Copilot Studio Agent- and in both cases my MCP server works fine ; Azure AI Agent however fails.  Python: 3.13.5 Name: azure-ai-agents Version: 1.2.0b3 Below is my code that I am using for creating a thread and message. `import os, time #import gradio as gr from dotenv import load_dotenv import asyncio Azure AI Agent SDK from azure.ai.projects.aio import AIProjectClient from azure.identity.aio import DefaultAzureCredential from azure.ai.agents.models import ( ListSortOrder, McpTool, RequiredMcpToolCall, RunStepActivityDetails, SubmitToolApprovalAction, ToolApproval, ) Load environment variables load_dotenv() Azure Agent + OpenAI configuration endpoint = os.getenv(`AZ_PROJ_ENDPNT`)      # Azure project endpoint (Agent Service) api_key = os.getenv(`AZ_OPENAPI`)           # Your Azure OpenAI / Agent key deployment = os.getenv(`AZ_MODEL`)          # Model deployment name mcp_server_url = os.getenv(`MCP_SERVER_URL`) mcp_server_label = os.getenv(`MCP_SERVER_LABEL`) agent_id = os.getenv(`AZ_AGENT_ID`) async def main() -> None: project_client = AIProjectClient(     endpoint=endpoint,     credential=DefaultAzureCredential(), )  # Initialize agent MCP tool mcp_tool = McpTool(     server_label=mcp_server_label,     server_url=mcp_server_url,     #allowed_tools=[],  # Optional: specify allowed tools ) mcp_tool.set_approval_mode(`never`)  # Uncomment to disable approval requirement async with project_client:     agents_client = project_client.agents     agent = await agents_client.get_agent(agent_id=agent_id)          # print(f`Created agent, ID: {agent.id}`)     # print(f`MCP Server: {mcp_tool.server_label} at {mcp_tool.server_url}`)      #Create thread for communication     thread = await agents_client.threads.create()     print(f`Created thread, ID: {thread.id}`)      # Create message to thread     message = await agents_client.messages.create(         thread_id=thread.id,         role=`user`,         content=`Please list all the devices under company Example`,     )     print(f`Created message, ID: {message.id}`)      #Create and process agent run in thread with MCP tools      run = await agents_client.runs.create(thread_id=thread.id, agent_id=agent.id, tool_resources=mcp_tool.resources)     print(f`Created run, ID: {run.id}`)      while run.status in [`queued`, `in_progress`, `requires_action`]:         await asyncio.sleep(1)         run = await agents_client.runs.get(thread_id=thread.id, run_id=run.id)          if run.status == `requires_action` and isinstance(run.required_action, SubmitToolApprovalAction):             tool_calls = run.required_action.submit_tool_approval.tool_calls             if not tool_calls:                 print(`No tool calls provided - cancelling run`)                 await agents_client.runs.cancel(thread_id=thread.id, run_id=run.id)                 break              tool_approvals = []             for tool_call in tool_calls:                 if isinstance(tool_call, RequiredMcpToolCall):                     try:                         print(f`Approving tool call: {tool_call}`)                         tool_approvals.append(                             ToolApproval(                                 tool_call_id=tool_call.id,                                 approve=True,                                 headers=mcp_tool.headers,                             )                         )                     except Exception as e:                         print(f`Error approving tool_call {tool_call.id}: {e}`)              print(f`tool_approvals: {tool_approvals}`)             if tool_approvals:                 await agents_client.runs.submit_tool_outputs(                     thread_id=thread.id, run_id=run.id, tool_approvals=tool_approvals                 )          print(f`Current run status: {run.status}`)      print(f`Run completed with status: {run.status}`)     if run.status == `failed`:         print(f`Run failed: {run.last_error}`)      # Display run steps and tool calls     run_steps = agents_client.run_steps.list(thread_id=thread.id, run_id=run.id)      # Loop through each step     async for step in run_steps:         print(f`Step {step['id']} status: {step['status']}`)          # Check if there are tool calls in the step details         step_details = step.get(`step_details`, {})         tool_calls = step_details.get(`tool_calls`, [])          if tool_calls:             print(`  MCP Tool calls:`)             for call in tool_calls:                 print(f`    Tool Call ID: {call.get('id')}`)                 print(f`    Type: {call.get('type')}`)          if isinstance(step_details, RunStepActivityDetails):             for activity in step_details.activities:                 for function_name, function_definition in activity.tools.items():                     print(                         f'  The function {function_name} with description `{function_definition.description}` will be called.:'                     )                     if len(function_definition.parameters) > 0:                         print(`  Function parameters:`)                         for argument, func_argument in function_definition.parameters.properties.items():                             print(f`      {argument}`)                             print(f`      Type: {func_argument.type}`)                             print(f`      Description: {func_argument.description}`)                     else:                         print(`This function has no parameters`)          print()  # add an extra newline between steps      # Fetch and log all messages     messages = agents_client.messages.list(thread_id=thread.id, order=ListSortOrder.ASCENDING)     print(`\nConversation:`)     print(`-` * 50)     async for msg in messages:         if msg.text_messages:             last_text = msg.text_messages[-1]             print(f`{msg.role.upper()}: {last_text.text.value}`)             print(`-` * 50)  if name == `main`: asyncio.run(main())` Screenshots:  DELETE:    Tool Call (after DELETE)    Failed 404:   Notes: My MCP server is accessible online but access is restricted only from MS published IP list. Therefore not accessible to general public to test with. I have tested the tool calling with RestAPI and its the same result.  creating a new issue since I did not receive a response when posted on another issue.: Originally posted by @ITWApple in #42428
Client	AI Model Inference	ChatCompletionsClient does not support parameter `n`	Found while working on mozilla-ai/any-llm#353. From looking at the code, it appears that the n parameter is not supported.                azure-sdk-for-python/sdk/ai/azure-ai-inference/azure/ai/inference/aio/_patch.py                    Line 142       in       5d78f06                                                 class ChatCompletionsClient(ChatCompletionsClientGenerated):  # pylint: disable=too-many-instance-attributes
Client	AI Projects	AIAgentsInstrumentor().instrument() buggy behavior with OpenAPI tools	Package Name: azure.ai.projects Package Version: 1.1.0b2 Operating System: Windows 11 Python Version: 3.13.0  Describe the bug In telemetry/_ai_agents_instrumentor.py file, this line is not consistent with service response:                azure-sdk-for-python/sdk/ai/azure-ai-agents/azure/ai/agents/telemetry/_ai_agents_instrumentor.py                    Line 443       in       ac233e8                                                 tool_details = t.as_dict()[t.type]                                     tool_details = t.as_dict()[t.type] For openapi tool the RunSteps.list() API returns an inner function field instead. To Reproduce Steps to reproduce the behavior:  Apply AIAgentsInstrumentor().instrument() Run an agent invoking any openapi tool A KeyError: openapi is raised, since the mentioned field does not exist  Expected behavior No error raised when invoking such agent with SDK instrumented. Additional context  When applying .uninstrument() instead no error is raised Requires the agent Run to include a RunStep with ToolCalls of type openapi
Client	Search	SearchIndex class does not support index description field	Is your feature request related to a problem? Please describe. The Python SDK's SearchIndex class is missing the description field that's available in the Azure Cognitive Search REST API. When you try to access index.description in Python, you get an AttributeError. Describe the solution you'd like Add support for the description field in SearchIndex so developers can set, read, and update index descriptions programmatically through the SDK instead of having to make direct REST API calls. Evidence of the issue The SearchIndex class shows no description attribute in the constructor, _attribute_map, or parameter list. https://github.com/Azure/azure-sdk-for-python/blob/main/sdk/search/azure-search-documents/azure/search/documents/indexes/models/_index.py#L619-L641 Meanwhile, the REST API docs clearly show description field support. Describe alternatives you've considered Workarounds like direct REST API calls or Azure CLI commands work but break consistency with the Python SDK approach used for other index operations. Additional context This would bring the Python SDK to feature parity with the REST API for index management.
Client	AI Agents	sample_agents_mcp.py Error - Run failed: {'code': 'server_error', 'message': 'Sorry, something went wrong.'}	Package Name: azure-ai-agents, azure-ai-projects Package Version: 1.2.0b1 Operating System: Windows 11 Python Version: 3.12  Describe the bug The example in sample_agents_mcp.py does not work. The output is: Run completed with status: RunStatus.FAILED Run failed: {'code': 'server_error', 'message': 'Sorry, something went wrong.'}  To Reproduce Steps to reproduce the behavior:  Clone the repo and locate sample_agents_mcp.py file Open the file, follow the instructions described on line 13 under `USAGE` Run the code  Expected behavior The agent should be able to access the mcp tool and return a response
Client	AI Projects	Entra ID Auth for Foundry Evaluations with azure-ai-projects==1.0.0b11	Is your feature request related to a problem? Please describe. We're running into an issue while upgrading our project to use azure-ai-projects==1.0.0b11. Specifically, we’re encountering the following error when trying to create an evaluation: azure.core.exceptions.HttpResponseError: (UserError) Api-Key header is missing is null or empty Code: UserError Message: Api-Key header is missing is null or empty  This error appears even though we are attempting to use Entra ID authentication instead of an API key. Describe the solution you'd like We would like to understand: Is there a supported way to use Entra ID authentication with the new SDK version? Are there any updated examples or documentation for evaluation creation in 1.0.0b11 that do not rely on an API key? Describe alternatives you've considered We reviewed the https://learn.microsoft.com/en-us/azure/ai-services/foundry/ and internal resources like the Azure AI Foundry - Introduction and Workshop Entra Identity Fundamentals, but could not find clear guidance on using Entra ID authentication for evaluation creation in this SDK version. Additional context Add any other context or screenshots about the feature request here. Implementation with updated SDK  EvaluatorConfiguration(     id=<evaluator_id>,     init_params={`deployment_name`: deployment_name} ) evaluation = Evaluation(     display_name=<name>,     data=Dataset(id=benchmark_data_id),     evaluators=<evaluators> ) evaluation_response: Evaluation = self.project_client.evaluations.create(     evaluation=evaluation,     headers={         `model-endpoint`: self.azure_openai_endpoint,     }, )  Previous Implementation (which worked with Entra ID Auth)   EvaluatorConfiguration(     id=<evaluator_id>,     init_params={`model_config`: model_config} ) model_config = AzureOpenAIModelConfiguration(     azure_deployment=<deployment_name>,     azure_endpoint=<azure_endpoint> ) evaluation = Evaluation(     display_name=<name>,     data=Dataset(id=benchmark_data_id),     evaluators=<evaluators> ) evaluation_response = self.project_client.evaluations.create(evaluation=evaluation)
Client	AI Projects	Bug :azure-ai-projects==1.2.0b1 will pointing to azure-ai-agents==1.1.0 latest version which is causing the Cannot import name `RequiredMcpToolCall` from `azure.ai.agents.models`	Describe the bug Installing azure-ai-projects==1.0.0b11 or higher version and checked its pointing to azure-ai-agents==1.1.0. The latest available beta version of azure-ai-agents is 1.2.0b1, which contains important fixes and new features such as updates to RequiredMcpToolCall.  Package Name: azure-ai-projects Package Version: 1.0.0b11 or higher  To Reproduce Steps to reproduce the behavior: Create a clean Python virtual environment. Run: pip install azure-ai-projects==1.0.0b11 pip show azure-ai-agents Observe that the installed version is azure-ai-agents==1.1.0, not the latest 1.2.0b1. Expected behavior azure-ai-projects should specify a flexible dependency range for azure-ai-agents (e.g., >=1.1.0) so that users automatically get the latest compatible version. This would ensure access to the most recent bug fixes and features without manual dependency overrides. Screenshots
Client	Evaluation	azure-ai-evaluation: Generating multi-turn dataset with AdversarialSimulator is not working	Package Name: azure-ai-evaluation Package Version: 1.9.0 Operating System: Linux Python Version: 3.10.2  Describe the bug When trying to generate multi-turn adversarial dataset using the AdversarialSimulator, it stuck at an infinite loop, keep showing the following logs:  To Reproduce Minimum reproduction script: import os import asyncio import logging from dotenv import load_dotenv from azure.identity import AzureCliCredential from azure.ai.evaluation.simulator import AdversarialSimulator, AdversarialScenario  load_dotenv() logging.basicConfig(level=logging.INFO)  async def callback(self, messages, stream = False, session_state = None) -> dict:     ```A Fake callback function to simulate against.```     fake_response = {`content`: `FakeAnswer`, `role`: `assistant`, `context`: {}}     messages[`messages`].append(fake_response)     return {         `messages`: messages[`messages`],         `stream`: stream,         `session_state`: session_state     }  async def run():     cred = AzureCliCredential()     simulator = AdversarialSimulator(         azure_ai_project=os.environ['AI_EVAL_FOUNDRY_PROJECT_ENDPOINT'],         credential=cred     )     outputs = await simulator(         scenario=AdversarialScenario.ADVERSARIAL_CONVERSATION,         target=callback,         max_conversation_turns=2, # Must > 1         max_simulation_results=1, # Set to 1 for minimum testing     )  asyncio.run(run()) Expected behavior It should not stuck at a infinite loop and should return simulated result. Screenshots  Additional context I checked the code and I think it's stuck at the loop here. The following line in the loop keep throwing azure.core.exceptions.DeserializationError response = session.evaluations.operation_results(operation_id, headers=headers) I managed to make a GET request to the URL that returns 200, and the response API doesn't seem to align with the deserialization logic:
Client	AI Agents	Can't update AzureAISearchTool on Thread Level	Package Name: azure-ai-agents Package Version: 1.0.2 Operating System: macOS Python Version: 3.12.11  Describe the bug I set an AI Search on agent level. However, in my specific thread I want to update the filter which causes thre run to fail: {'code': 'tool_user_error', 'message': 'Error: search_too_many_indexes; Too many indexes configured for Azure AI Search tool. Only one index can be attached to either the agent, thread, or run.'}  To Reproduce agent_toolset = ToolSet() agent_toolset.add(     AzureAISearchTool(         index_name=`index_name`,         index_connection_id=get_env(`SEARCH_ID`),     ) ) agent = agents_client.create_agent(toolset=agent_toolset, model=`gpt-4.1`)   # create a thread toolset with ai search thread_toolset = ToolSet() thread_toolset.add(     AzureAISearchTool(         index_name=`index_name`,         index_connection_id=get_env(`SEARCH_ID`),         filter=`SessionId eq '11111'`,  # example filter     ) ) # set thread to use the thread toolset thread = agents_client.threads.create(tool_resources=thread_toolset.resources)  # first run: search for some file message = agents_client.messages.create(     thread_id=thread.id,     role=MessageRole.USER,     content=`Please use the ai search tool to search for 'hello world'`, ) run = agents_client.runs.create_and_process(thread_id=thread.id, agent_id=agent.id, toolset=thread_toolset)  # send a follow-up message to the thread message = agents_client.messages.create(thread_id=thread.id, role=MessageRole.USER, content=`What happened?`) run = agents_client.runs.create_and_process(thread_id=thread.id, agent_id=agent.id, toolset=thread_toolset) Expected behavior Overwrite the agent tools by the thread level ones on thread level. From the tool overview  Screenshots  No tool call visible (which make sense since it failed)
